age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
25,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,59,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,no
58,services,married,high.school,no,yes,no,cellular,jul,fri,72,30,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
31,entrepreneur,married,basic.9y,unknown,yes,no,telephone,may,fri,70,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
30,technician,single,university.degree,unknown,no,no,cellular,aug,tue,61,5,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
34,admin.,married,university.degree,unknown,unknown,unknown,telephone,jul,wed,171,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,no
35,technician,married,professional.course,no,no,no,telephone,may,tue,104,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
48,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,295,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
32,admin.,divorced,high.school,no,no,no,cellular,nov,tue,115,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
34,technician,divorced,professional.course,no,yes,yes,cellular,apr,fri,180,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
48,services,married,basic.4y,unknown,yes,no,cellular,aug,thu,137,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
46,entrepreneur,married,university.degree,unknown,unknown,unknown,telephone,jun,wed,156,9,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
34,housemaid,married,high.school,unknown,no,no,cellular,may,wed,142,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
57,management,married,university.degree,no,no,yes,telephone,jun,fri,20,4,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
27,admin.,married,university.degree,no,yes,no,telephone,may,tue,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
39,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,480,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,415,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,no
31,blue-collar,married,high.school,no,yes,no,cellular,may,wed,207,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,no
32,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,523,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
30,blue-collar,married,high.school,no,yes,yes,cellular,nov,thu,2453,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,yes
50,self-employed,married,university.degree,no,yes,no,telephone,jun,fri,306,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
36,admin.,married,university.degree,no,yes,no,cellular,aug,mon,149,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
35,admin.,single,high.school,no,no,no,telephone,may,fri,162,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
33,admin.,single,university.degree,no,yes,no,cellular,apr,thu,305,3,999,0,nonexistent,-1.8,93.749,-34.6,0.659,5008.7,yes
46,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,107,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
40,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
30,services,married,high.school,no,no,no,cellular,nov,tue,200,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,no
46,technician,married,professional.course,no,yes,no,cellular,aug,fri,182,6,999,1,failure,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
38,services,married,basic.9y,no,no,no,cellular,jun,fri,140,2,999,0,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,no
24,blue-collar,married,basic.9y,no,no,no,cellular,jul,fri,225,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,no
34,admin.,married,university.degree,no,no,no,telephone,may,mon,79,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52,technician,married,basic.9y,no,no,no,telephone,may,fri,764,7,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
25,unemployed,single,professional.course,no,no,yes,cellular,apr,wed,274,3,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,no
52,management,married,university.degree,no,yes,no,cellular,aug,thu,175,3,1,3,success,-1.7,94.027,-38.3,0.899,4991.6,yes
44,admin.,single,high.school,no,no,no,telephone,may,mon,111,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,fri,95,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
29,admin.,single,university.degree,no,yes,no,cellular,jul,mon,110,2,999,1,failure,-1.7,94.215,-40.3,0.889,4991.6,no
73,retired,married,professional.course,no,yes,no,cellular,aug,thu,135,2,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.873,5076.2,no
30,admin.,single,university.degree,no,yes,yes,cellular,aug,tue,155,1,4,1,success,-2.9,92.20100000000001,-31.4,0.883,5076.2,no
33,blue-collar,married,high.school,no,yes,no,telephone,may,wed,233,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
46,admin.,single,high.school,no,yes,yes,cellular,may,mon,65,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.264,5099.1,no
37,technician,married,university.degree,no,yes,no,cellular,aug,wed,138,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
32,technician,single,university.degree,no,yes,no,telephone,may,thu,62,7,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
41,management,single,high.school,no,no,no,telephone,may,tue,120,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
33,admin.,married,university.degree,no,no,yes,telephone,mar,thu,78,2,999,1,failure,-1.8,93.369,-34.8,0.65,5008.7,no
45,admin.,married,unknown,unknown,no,no,cellular,jul,thu,188,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
32,technician,single,high.school,no,yes,yes,cellular,may,mon,426,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,no
32,services,married,professional.course,no,yes,no,telephone,may,tue,215,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
48,housemaid,divorced,basic.4y,unknown,no,yes,telephone,may,fri,209,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59,blue-collar,married,basic.4y,no,yes,no,cellular,aug,tue,258,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,management,married,university.degree,no,no,no,telephone,may,mon,195,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,78,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
31,admin.,single,high.school,no,no,no,cellular,jul,fri,168,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
30,admin.,single,university.degree,no,no,yes,cellular,jun,fri,199,1,3,1,success,-2.9,92.963,-40.8,1.268,5076.2,yes
24,student,single,university.degree,no,yes,yes,telephone,may,fri,65,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
